,0,1,2,3,4,5,6,7,8,9,10
174,p-Hydroxyacetophenone,50,15.0,30.0,0,0.736643462,0.945525455,0.984316028,0.985699908,0.985993458,0.98607733
175,p-hydroxyanisole,50,15.0,30.0,0,0.594490132,0.768503289,0.836513158,0.845559211,0.847039474,0.847450658
176,Methyl 4-hydroxybenzoate,50,15.0,30.0,0,1.0,1.0,1.0,1.0,1.0,1.0
177,p-Hydroxybenzyl Alcohol,50,15.0,30.0,0,0.560755451,0.751978892,0.810026385,0.824885433,0.827246216,0.82919039
178,4-acetamidophenol,50,15.0,30.0,0,0.823470503,0.89721413,0.910597232,0.913328478,0.913692644,0.914694101
179,p-methylphenol,50,15.0,30.0,0,0.446216267,0.588318551,0.663710134,0.734855633,0.759011134,0.762974146
180,phenol,50,5.0,50.0,0,0.312879182,0.595250477,0.794245103,0.884555382,0.917143352,0.927370428
181,chlorophenol,50,5.0,50.0,0,0.520012083,0.849871621,0.900015103,0.93327443,0.967376529,0.986104818
182,nitrophenol,50,5.0,50.0,0,0.429274853,0.559449674,0.710975484,0.853336092,0.9305886,0.965718424
183,p-hydroxybenzoic acid,50,5.0,50.0,0,0.370834893,0.678522401,0.90403095,0.986521902,1.0,1.0
184,quinol,50,5.0,50.0,0,0.427727935,0.597500192,0.748102139,0.789126601,0.809063722,0.818648877
185,p-Hydroxybenzaldehyde,50,5.0,50.0,0,0.380493484,0.593780247,0.822300776,0.919763217,0.99187813,0.997587286
186,p-Hydroxyacetophenone,50,5.0,50.0,0,0.461357635,0.764506988,0.950086945,0.994139241,0.998921234,1.0
187,p-hydroxyanisole,50,5.0,50.0,0,0.295190544,0.487466884,0.659160383,0.841247198,0.917057265,0.948848584
188,Methyl 4-hydroxybenzoate,50,5.0,50.0,0,0.883537653,0.9696439,1.0,1.0,1.0,1.0
189,p-Hydroxybenzyl Alcohol,50,5.0,50.0,0,0.212624123,0.390320117,0.571904729,0.691618638,0.739462537,0.759600028
190,4-acetamidophenol,50,5.0,50.0,0,0.308174957,0.51577703,0.737201055,0.883604619,0.939074293,0.962626171
191,p-methylphenol,50,5.0,50.0,0,0.268292683,0.332917928,0.412052697,0.522520919,0.668684351,0.780309774
192,phenol,50,20.0,30.0,0,0.483565204,0.607093717,0.619018499,0.61993579,0.624063599,0.630637517
193,chlorophenol,50,20.0,30.0,0,0.787172012,0.900758017,0.915685131,0.917084548,0.919766764,0.921166181
